location,total_sqft,bath,price,BHK,price_per_sqft
Electronic City Phase II,1056.0,2.0,39.07,2.0,3699.810606060606
Chikka Tirupathi,2600.0,5.0,120.0,4.0,4615.384615384615
Uttarahalli,1440.0,2.0,62.0,3.0,4305.555555555556
Lingadheeranahalli,1521.0,3.0,95.0,3.0,6245.890861275477
Kothanur,1200.0,2.0,51.0,2.0,4250.0
Whitefield,1170.0,2.0,38.0,2.0,3247.863247863248
Old Airport Road,2732.0,4.0,204.0,4.0,7467.0571010248905
Rajaji Nagar,3300.0,4.0,600.0,4.0,18181.81818181818
Marathahalli,1310.0,3.0,63.25,3.0,4828.244274809161
other,1020.0,6.0,370.0,6.0,36274.509803921566
Whitefield,1800.0,2.0,70.0,3.0,3888.8888888888887
Whitefield,2785.0,5.0,295.0,4.0,10592.45960502693
7th Phase JP Nagar,1000.0,2.0,38.0,2.0,3800.0
Gottigere,1100.0,2.0,40.0,2.0,3636.3636363636365
Sarjapur,2250.0,3.0,148.0,3.0,6577.777777777777
Mysore Road,1175.0,2.0,73.5,2.0,6255.31914893617
Bisuvanahalli,1180.0,3.0,48.0,3.0,4067.7966101694915
Raja Rajeshwari Nagar,1540.0,3.0,60.0,3.0,3896.103896103896
other,2770.0,4.0,290.0,3.0,10469.314079422382
other,1100.0,2.0,48.0,2.0,4363.636363636364
Kengeri,600.0,1.0,15.0,1.0,2500.0
Binny Pete,1755.0,3.0,122.0,3.0,6951.5669515669515
Thanisandra,2800.0,5.0,380.0,4.0,13571.42857142857
Bellandur,1767.0,3.0,103.0,3.0,5829.088851160159
Thanisandra,510.0,1.0,25.25,1.0,4950.980392156863
other,1250.0,3.0,56.0,3.0,4480.0
Electronic City,660.0,1.0,23.1,2.0,3500.0
Whitefield,1610.0,3.0,81.0,3.0,5031.055900621118
Ramagondanahalli,1151.0,2.0,48.77,2.0,4237.185056472633
Electronic City,1025.0,2.0,47.0,3.0,4585.365853658536
,,,,,
Bisuvanahalli,1075.0,2.0,35.0,3.0,3255.813953488372
Hebbal,1760.0,2.0,123.0,3.0,6988.636363636364
Raja Rajeshwari Nagar,1693.0,3.0,57.39,3.0,3389.84051978736
Kasturi Nagar,1925.0,3.0,125.0,3.0,6493.506493506494
Kanakpura Road,700.0,2.0,36.0,2.0,5142.857142857143
Electronics City Phase 1,1070.0,2.0,45.5,2.0,4252.336448598131
Kundalahalli,1724.0,3.0,125.0,3.0,7250.580046403712
Chikkalasandra,1290.0,2.0,56.12,3.0,4350.387596899225
Uttarahalli,1143.0,2.0,45.0,2.0,3937.0078740157483
Murugeshpalya,1296.0,2.0,81.0,2.0,6250.0
Sarjapur  Road,1254.0,3.0,38.0,3.0,3030.3030303030305
Ganga Nagar,600.0,1.0,38.0,1.0,6333.333333333333
Yelahanka,660.0,1.0,48.0,1.0,7272.727272727273
Kanakpura Road,1330.74,2.0,91.79,2.0,6897.665960292769
,,,,,
Doddathoguru,970.0,2.0,33.0,2.0,3402.061855670103
Whitefield,1459.0,2.0,94.82,2.0,6498.971898560658
KR Puram,800.0,1.0,130.0,2.0,16250.0
other,869.0,2.0,36.0,2.0,4142.692750287687
other,1270.0,2.0,50.0,2.0,3937.0078740157483
Bhoganhalli,1670.0,3.0,99.0,3.0,5928.143712574851
Whitefield,2010.0,3.0,91.0,3.0,4527.363184079602
Lakshminarayana Pura,1185.0,2.0,75.0,2.0,6329.113924050633
Yelahanka,1600.0,2.0,75.0,3.0,4687.5
,,,,,
other,1500.0,2.0,185.0,2.0,12333.333333333334
Murugeshpalya,1407.0,4.0,150.0,6.0,10660.980810234541
other,840.0,2.0,45.0,2.0,5357.142857142857
other,4395.0,3.0,240.0,3.0,5460.750853242321
Ganga Nagar,845.0,2.0,55.0,2.0,6508.87573964497
Whitefield,5700.0,5.0,650.0,4.0,11403.508771929824
Varthur,1160.0,2.0,44.0,2.0,3793.103448275862
Bommanahalli,3000.0,8.0,140.0,8.0,4666.666666666667
Doddathoguru,1100.0,2.0,62.0,2.0,5636.363636363636
Gunjur,1140.0,2.0,43.0,2.0,3771.9298245614036
Marathahalli,1220.0,2.0,57.0,2.0,4672.131147540984
Devarachikkanahalli,1350.0,7.0,85.0,8.0,6296.2962962962965
Kanakpura Road,1005.0,2.0,36.68,2.0,3649.7512437810947
other,500.0,3.0,100.0,3.0,20000.0
Begur Road,1358.0,2.0,80.58,2.0,5933.726067746687
Hegde Nagar,1569.0,3.0,101.0,3.0,6437.221159974506
Haralur Road,1240.0,2.0,70.0,2.0,5645.1612903225805
Hennur Road,2089.0,3.0,140.0,3.0,6701.771182383915
Kothannur,1206.0,2.0,48.23,2.0,3999.1708126036483
Kalena Agrahara,1150.0,2.0,40.0,2.0,3478.2608695652175
other,2511.0,3.0,205.0,3.0,8164.078056551175
Kaval Byrasandra,460.0,1.0,22.0,2.0,4782.608695652174
ISRO Layout,4400.0,6.0,250.0,6.0,5681.818181818182
,,,,,
Yelahanka,1326.0,2.0,78.0,2.0,5882.35294117647
Garudachar Palya,1325.0,2.0,60.8,3.0,4588.679245283019
EPIP Zone,1499.0,5.0,102.0,3.0,6804.536357571715
Hegde Nagar,3000.0,7.0,210.0,6.0,7000.0
Kanakpura Road,1665.0,3.0,88.0,3.0,5285.285285285286
Dasanapura,708.0,2.0,37.0,2.0,5225.988700564972
Kasavanhalli,1060.0,2.0,58.06,2.0,5477.358490566037
Rajaji Nagar,710.0,6.0,160.0,6.0,22535.211267605635
Sanjay nagar,1000.0,2.0,70.0,2.0,7000.0
Electronic City,1000.0,2.0,28.88,2.0,2888.0
other,1450.0,2.0,70.0,3.0,4827.586206896552
ISRO Layout,1200.0,4.0,155.0,4.0,12916.666666666666
Thanisandra,1296.0,2.0,80.0,2.0,6172.83950617284
Domlur,1540.0,3.0,90.0,3.0,5844.1558441558445
Kengeri,2894.0,4.0,245.0,4.0,8465.791292328957
Sarjapura - Attibele Road,1330.0,2.0,48.0,3.0,3609.0225563909776
other,1200.0,2.0,65.0,2.0,5416.666666666667
other,1200.0,3.0,90.0,3.0,7500.0
Yeshwanthpur,2502.0,3.0,138.0,3.0,5515.587529976019
Chandapura,650.0,1.0,17.0,2.0,2615.3846153846152
Kothanur,2400.0,2.0,150.0,3.0,6250.0
other,1007.0,2.0,43.0,2.0,4270.109235352532
other,1200.0,2.0,50.0,2.0,4166.666666666667
other,966.0,2.0,49.9,2.0,5165.631469979296
Nagarbhavi,1630.0,2.0,98.0,3.0,6012.269938650306
Rajaji Nagar,1640.0,3.0,229.0,3.0,13963.414634146342
other,782.0,2.0,55.68,2.0,7120.204603580562
Devanahalli,1260.0,2.0,66.78,2.0,5300.0
other,1800.0,3.0,120.0,3.0,6666.666666666667
other,1413.0,2.0,75.0,3.0,5307.855626326964
Whitefield,1116.0,2.0,51.91,2.0,4651.433691756272
Electronic City,1530.0,2.0,45.9,3.0,3000.0
Ramamurthy Nagar,3700.0,4.0,225.0,4.0,6081.081081081081
Sarjapur  Road,2497.0,3.0,140.0,3.0,5606.728073688426
Kengeri,1540.0,2.0,64.0,3.0,4155.8441558441555
Thanisandra,1436.0,3.0,74.75,3.0,5205.431754874652
Malleshwaram,1100.0,2.0,75.0,2.0,6818.181818181818
Hennur Road,276.0,3.0,23.0,2.0,8333.333333333334
Thanisandra,1427.0,3.0,120.0,3.0,8409.250175192712
Akshaya Nagar,2061.0,3.0,200.0,3.0,9704.02717127608
,,,,,
Shampura,2650.0,4.0,150.0,4.0,5660.377358490566
Devanahalli,1282.0,2.0,68.52,3.0,5344.773790951638
Kadugodi,1050.0,2.0,34.0,2.0,3238.095238095238
LB Shastri Nagar,1600.0,3.0,65.0,3.0,4062.5
other,945.0,2.0,54.0,2.0,5714.285714285715
Hormavu,1500.0,2.0,78.0,2.0,5200.0
Vishwapriya Layout,950.0,7.0,115.0,7.0,12105.263157894737
other,1870.0,3.0,110.0,3.0,5882.35294117647
Sarjapur,1600.0,3.0,75.0,3.0,4687.5
,,,,,
other,1200.0,4.0,210.0,4.0,17500.0
Kudlu Gate,1535.0,3.0,83.0,3.0,5407.166123778502
Kanakpura Road,950.0,2.0,57.0,2.0,6000.0
Devanahalli,1360.0,2.0,65.0,2.0,4779.411764705882
,,,,,
Bommasandra Industrial Area,1280.0,3.0,50.4,3.0,3937.5
other,1260.0,2.0,85.05,3.0,6750.0
Hennur Road,5000.0,8.0,250.0,8.0,5000.0
Yelahanka,3050.0,5.0,213.0,5.0,6983.606557377049
Kasavanhalli,1563.05,3.0,105.0,3.0,6717.635392341896
ISRO Layout,1000.0,2.0,60.0,2.0,6000.0
Anandapura,1167.0,2.0,43.76,2.0,3749.7857754927163
Vishveshwarya Layout,4000.0,7.0,225.0,7.0,5625.0
